frequency	smiles	generic_name
3	C1C=C[C@@H]2[C@H]1C=COC2	C8H10O
2	C1OCc2c1cccc2	C8H8O
3	c1coc2c1cccc2	C8H6O
1	C1c(cccc2)c2OC1	C8H8O
1	c1nn(cccn2)c2n1	C5H4N4
1	c1n[nH]c2ncncc12	C5H4N4
2	c1nc2ncncc2[nH]1	C5H4N4
18	c1nc2cncnc2[nH]1	C5H4N4
1	C1NC[C@H]2NCCC[C@H]12	C7H14N2
5	c1n[nH]c2c1cccc2	C7H6N2
1	c1c(cccc2)c2n[nH]1	C7H6N2
1	c1c(cccc2)n2nc1	C7H6N2
30	c1nc(cccc2)c2[nH]1	C7H6N2
1	c1c[nH]c2ncccc12	C7H6N2
2	c1nc(cccc2)c2[n-]1	C7H5N2
1	c1cc2nsnc2cc1	C6H4N2S
1	c1cc2nonc2cc1	C6H4N2O
1	C(CNC1)c2c1onc2	C6H8N2O
1	O=C1N[C@@H](CSC2)[C@@H]2N1	C5H8N2OS
2	C1NC[C@@H]2[C@H]1CCCC2	C8H15N
1	C1c(cccc2)c2N=C1	C8H7N
21	c1c[nH]c2c1cccc2	C8H7N
2	C1c(cccc2)c2NC1	C8H9N
1	C1[C@H](CCCC2)[C@H]2NC1	C8H15N
1	C(C1)C[C@H]2N[C@@H]1CCC2	C8H15N
3	C(CNC1)c2c1ccs2	C7H9NS
3	c1nsc2c1cccc2	C7H5NS
3	c1nc(cccc2)c2s1	C7H5NS
1	C(CC1)Cc2c1scn2	C7H9NS
1	C=C(C1)O[C@H](C2)N1C2=O	C6H7NO2
1	O=C1N2C=CCO[C@@H]2C1	C6H7NO2
1	O=C1N2C=CCC[C@@H]2C1	C7H9NO
4	c1noc2c1cccc2	C7H5NO
1	c1nc(cccc2)c2o1	C7H5NO
29	O=C1N2C=CCS[C@@H]2C1	C6H7NOS
1	c1c2nn[nH]c2ncn1	C4H3N5
1	c(cc1)cc2c1nn[nH]2	C6H5N3
1	c1cnc2n1nccc2	C6H5N3
1	c1n[nH]c2ncccc12	C6H5N3
1	c1c2ncccn2nc1	C6H5N3
2	c1c[nH]c2ncncc12	C6H5N3
2	c1nc2ncccc2[nH]1	C6H5N3
2	O=C(CC(N1)=O)NC1=O	C4H4N2O3
1	O=C(CC1)NCS1(=O)=O	C4H7NO3S
1	O=C(NC(N1)=O)NC1=O	C3H3N3O3
3	C(C1)C[C@@H]2N[C@H]1[C@H]1O[C@@H]12	C7H11NO
3	C(C1)C[C@@H]2[NH2+][C@H]1[C@H]1O[C@@H]12	C7H12NO
7	C(C(C1)C2)C3CC2CC1C3	C10H16
1	C(N(C1)C2)N3CN2CN1C3	C6H12N4
1	C1C2C(C3)O[C@@H]4OC3[C@H]1[C@@H]24	C8H10O2
4	C1CC=C2C=CCC[C@H]2C1	C10H14
30	c1ccc(cccc2)c2c1	C10H8
5	C(CC1)Cc2c1cccc2	C10H12
1	C=C(C=C1)c2c1cccc2	C10H8
4	C=C1[C@H](CCC2)C2CCC1	C10H16
1	C(C1)CSc2c1cccc2	C9H10S
1	O=P1O[C@H]2OCC[C@@H]2CO1	C5H9O4P
3	O=C1OCc2c1cccc2	C8H6O2
1	C(C1)CO[C@@H]2[C@@H]1OCCC2	C8H14O2
2	C1Oc(cccc2)c2OC1	C8H8O2
1	C(C1)CO[C@@]11OCCCC1	C8H14O2
2	C1OC2(CCCCC2)OC1	C8H14O2
1	O=C(CC1)c2c1cccc2	C9H8O
4	C(C1)COc2c1cccc2	C9H10O
2	C(C1)CO[C@H]2[C@H]1OCOC2	C7H12O3
1	C1CCn2nnnc2CC1	C6H10N4
1	c1ncnc2cncnc12	C6H4N4
4	c1cnc2ncncc2n1	C6H4N4
1	S=C1NC=Nc2c1[nH]cn2	C5H4N4S
