frequency	smiles	generic_name
1	O=C1C=C2C=C[C@@H]([C@H](CCC3)C3CC3)[C@H]3C2[C@@H]2[C@H]1C2	C18H22O
1	C1CN(CC2)[C@@H]3c4c2c(cccc2)c2n4C=CC3C1	C17H18N2
1	C1CN(CC2)[C@@H]3c4c2c(cccc2)c2n4CCC3C1	C17H20N2
1	C([C@@H](C1)C=C[C@H]2N1CC1)C2c2c1c(cccc1)c1[nH]2	C17H18N2
3	C(C1)[C@@]23c(cccc4)c4N[C@H]3CCC3C=CCN1[C@H]23	C17H20N2
2	O=C(CCC1[C@]23CCN[C@@H]1C1)[C@@H]3Oc3c2c1ccc3	C16H17NO2
1	C=C(CCC1[C@]23CCN[C@@H]1C1)[C@@H]3Oc3c2c1ccc3	C17H19NO
1	C(CC1CC2)C[C@H]1[C@H](CC1)[C@H]2C(C2)[C@@H]1Cc1c2cn[nH]1	C18H26N2
1	O=C(CC1CCC2)n3c(cccc4)c4c4c3[C@H]1N2CC4	C17H18N2O
1	C(CC1CC2)C[C@H]1[C@H](CC1)[C@H]2C(C2)C1=Cc1c2cno1	C18H23NO
8	O=C1C=CC[C@H](C[C@@H]2Cc3c4cccc3)C1C=C2C4=O	C18H16O2
1	O=C1C=CC[C@@H](C[C@H]2Cc3c4cccc3)C1C=C2C4=O	C18H16O2
4	O=C(c1c2cccc1)c(cc(CCCC1)c1c1)c1C2=O	C18H14O2
1	C=C(C[C@@H]([C@H](CC1)C(CC2)C1=O)[C@H]2C1C=C2)C1=CC2=O	C18H20O2
1	O=C(C[C@@H]1C[C@@H]2Cc3c4cccc3)C=CC1C=C2C4=O	C18H16O2
1	O=C1C=CC[C@H](C[C@H](C2)C3=Cc4c2cccc4)C1C3=O	C18H16O2
1	O=C(CC1)C(C2)[C@@H]1[C@H](CCC(C1CC3)=CC3=O)[C@@H]1C2=O	C17H20O3
1	O=C(CC1)C[C@@H](C2)C1[C@@H](CC(C1[C@H]3CCC1)=O)[C@H]3C2=O	C17H22O3
1	C(CNCC1)C1=C(c1c(CC2)scc1)c1c2cccc1	C18H19NS
1	C(CNCC1)C1=C1c(cccc2)c2Sc2c1cccc2	C18H17NS
2	C=C([C@@H](C[C@H]1CC=C2)C3=CC1C2=O)c(cccc1)c1C3=O	C19H16O2
3	C(CNCC1)C1=C1c2ncccc2CCc2c1cccc2	C19H20N2
1	C(CNCC1)C1=C1c(cccc2)c2C=Cc2c1cccc2	C20H19N
1	O=C(Cc1c2cccc1)c(scc1)c1C2=C1CCNCC1	C18H17NOS
3	O=C1C=C(CC[C@@H]2[C@@H]3CCC4C5OCO[C@@H]5C[C@@H]24)C3C=C1	C18H22O3
1	O=C1C=C(CC[C@@H]2C3CCC4[C@@H]5OCO[C@@H]5C[C@@H]24)C3C=C1	C18H22O3
1	O=C1C=C(CC[C@@H]2[C@@H]3CCC4[C@@H]5OCO[C@@H]5C[C@@H]24)C3C=C1	C18H22O3
2	O=C1C=C(CC[C@@H]2C3CCC4C5OCO[C@@H]5C[C@@H]24)C3C=C1	C18H22O3
1	O=C(CC1)C=C(CC2)C1[C@@H](CC1)[C@@H]2[C@H]2C1C1OCO[C@@H]1C2	C18H24O3
1	O=C(CC1)C=C(CC2)C1C(CC1)[C@@H]2[C@H]2C1[C@@H]1OCO[C@@H]1C2	C18H24O3
1	O=C(CC1)C=C(CC2)C1[C@@H](CC1)[C@@H]2[C@H]2C1[C@@H]1OCO[C@@H]1C2	C18H24O3
1	C(CC1)C[C@@H](C2)[C@@H]1CN(CC1)[C@@H]2c2c1c(cccc1)c1[nH]2	C19H24N2
1	C(CC1)C[C@@H](C2)[C@H]1CN(CC1)[C@H]2c2c1c(cccc1)c1[nH]2	C19H24N2
1	O=C1C=C(CC[C@@H]2[C@@H]3CCC4C5N=CO[C@@H]5C[C@@H]24)C3C=C1	C18H21NO2
1	C(CC1)CC(CC2)C1C1C2C(CCC2C3CCCC2)C3=CC1	C22H34
1	C=C(C(NCC(NCCC(NCC(NC1)=O)=O)=O)=O)NC1=O	C12H17N5O5
1	O=C(C1)O[C@@H](C[C@@]2([C@@H](CC3)OC4=O)[C@@]33C5)C1[C@@]24O[C@@H]3OC5=O	C15H14O7
1	O=C1C=C([C@H](CCCC2)C2CC2)C2C2[C@H]1C(CCCC1)[C@H]1CC2	C22H32O
1	O=C(c1c2cccc1)OC21c(cccc2)c2Oc2c1cccc2	C20H12O3
1	O=C(CC1)O[C@@]1(CC1)C(CC[C@@H]2C3CC4)[C@@H]1[C@@H]2C=CC3=CC4=O	C20H24O3
1	O=C(CC1)O[C@@]1(CC1)C(CC2)[C@@H]1[C@H](CC1)[C@H]2C(CC2)C1=CC2=O	C20H26O3
1	C(C1)C2N/C1=C\C(CC1)=N/C1=C\C(CC1)=N/C1=C\C1=N[C@@H]2CC1	C19H22N4
3	O=C(C1)OCC2=C1C=C(c1nc3ccccc3cc1C1)N1C2=O	C18H12N2O3
1	O=C(CC1)O[C@@]1(CC1)C2[C@@H]1[C@H](CCC(C1CC3)=CC3=O)[C@@]11O[C@@H]1C2	C20H24O4
1	O=C1C=C(CC[C@@H]2C3CCC4C5OC6(CCCC6)O[C@@H]5C[C@@H]24)C3C=C1	C22H28O3
1	O=C(C[C@@H]1OCC=C2[C@H](C3)[C@@H]1[C@H]1[C@@]4(CC5)[C@H]3N5C2)N1c1c4cccc1	C21H22N2O2
1	C(C1C(/C=C(/C=C2)\N/C2=C\C(C=C2)=N/C2=C2)=N3)C=CC=C1/C3=C/c1ccc2[nH]1	C24H18N4
1	O=C1OCC/C=C/C=C/C=C/C=C/CC[C@@H](CCC2)OC2CCC[C@H]2O[C@@H]2/C=C1	C25H34O4
1	O=C1O[C@@H](C2)C[C@@]3(OCCC=C3)O[C@@H]2C/C=C/CC/C=C/C=C2\C3[C@H]1C=CC[C@H]3OC2	C26H32O5
1	O=C1O[C@@H](C2)C[C@@]3(OCCCC3)O[C@@H]2C/C=C/CC/C=C/C=C2\C3[C@H]1C=CC[C@H]3OC2	C26H34O5
1	O=C(CCCCCNC(CNC(CNC(CNC(CNC(CN1)=O)=O)=O)=O)=O)NCC1=O	C18H29N7O7
2	O=C(CCCCOC([C@H](CCCC1)N1C1=O)=O)C/C=C\CCCC[C@H](CCC2)OC2C1=O	C25H37NO6
1	O=C1c2c(ccc(N3)c4)c4ccc2OC1O/C=C/CCCCCCCC/C=C/C=C\C3=O	C27H29NO4
1	O=C1c2c(ccc(N3)c4)c4ccc2O[C@@H]1O/C=C/CCCCCCCC/C=C/C=C\C3=O	C27H29NO4
1	O=C(CCCCNC([C@H](CCC1)N1C(CNC(CNC([C@H]1N2CCC1)=O)=O)=O)=O)NCC2=O	C21H32N6O6
1	O=C1c2c(c3c(c(N4)c5)n(cccc6)c6n3)c5ccc2OC1O/C=C/CCCCCCCC/C=C/C=C\C4=O	C32H31N3O4
1	C1Oc(c(Oc2cc([C@@H](Cc3cc(Oc4ccc(C[C@@H]5NCC6)cc4)ccc3)NCC3)c3cc2)c5c6c2)c2O1	C33H30N2O4
1	O=C(CCCCCCCCCCC1)CCCCCC/C=C\C=C/C=C\C=C/CC/C=C\C=C/CCCCOC1=O	C37H58O3
1	C=C(C[NH+](CC1)[C@@H](C2)[C@]1([C@H]13)c(cccc4)c4N1/C=C(\[C@H]1[C@@]4(CC5)[C@H](C6)[NH+]5C5)/[C@@H]6C5=C)[C@H]2/C3=C/N1c1c4cccc1	C36H38N4
1	O=C1OCCCC/C=C\C=C/C=C\C=C/C=C\C=C/C=C\CC[C@@H](CCC2)OC2CCCCCCCCCCC1	C37H56O3
1	O=C1c(c(C2=NC3(CCNCC3)NC2=C2N3)c(cc4)C2=O)c4OC1O/C=C/CCCCCCCC/C=C/C=C\C3=O	C32H36N4O5
1	O=C(CCOC(CNC(CNC(CNC(CNC(CNC(CNC(CNC(CN1)=O)=O)=O)=O)=O)=O)=O)=O)NCC1=O	C21H31N9O11
2	O=C(CCC/C=C/C=C/C=C/CC[C@H](CCC1)OC1C(C(N(CCCC1)[C@@H]1C(OCC1)=O)=O)=O)CC/C=C/CC1=O	C33H45NO7
1	O=C([C@H](Cc(cc1)ccc1Oc1cc(Oc2ccc(CCC(NCC(N[C@H]3C(N[C@@H]45)=O)=O)=O)cc2)cc3c1)NC4=O)NCc(cccc1)c1-c1cccc5c1	C43H37N5O7
1	O=C([C@H](Cc(cc1)ccc1Oc1cc([C@H](C(N[C@@H]23)=O)NC([C@H](c4cc(Oc5cc(CC(N[C@@H]6Cc(cc7)ccc7O7)=O)ccc5)ccc4)NC6=O)=O)cc7c1)NC2=O)NCc(cccc1)c1-c1cccc3c1	C57H46N6O9
1	C=C(C(SC1)=N[C@H]1C(NCc1nc(C(N[C@@H](COC(c(cc2)nc(C3)c2C=C[C@H]3NCC(NCC(NC(C(NCC(N[C@]2([C@H]3N=CCC2)c2nc(C(NC4)=O)cs2)=O)=O)=C)=O)=O)=O)c2nc3cs2)=O)cs1)=O)NC4=O	C46H45N15O10S4
